# FP1-F7,C3-P3,C4-P4,CZ-PZ,F3-C3,F4-C4,F7-T7,F8-T8,FP1-F3,FP2-F4,FP2-F8,FT10-T8,FT9-FT10,FZ-CZ,P3-O1,P4-O2,P7-O1,P7-T7,P8-O2,T7-FT9,T7-P7,T8-P8-0,T8-P8-1,Outcome
-4.49e-06,-3.2200000000000003e-05,-2.4e-05,-4.98e-05,1.5399999999999998e-05,9.57e-06,5.489999999999999e-05,-2.36e-05,3.46e-05,2.6e-05,-4.1e-06,-2.15e-06,-1.93e-05,4.3200000000000007e-05,-1.5399999999999998e-05,-2.17e-05,-5.720000000000001e-05,-1.07e-05,9.96e-06,-4.47e-05,1.11e-05,8.4e-06,8.4e-06,1.0
1.73e-05,-1.3800000000000002e-05,-5.660000000000001e-05,6.3e-05,3.22e-06,7.36e-05,-0.000254652,-0.000186667,-3.81e-06,-0.000112234,2.61e-05,-3.19e-05,3.19e-05,0.000111062,-0.000344322,-0.000189011,-0.000394139,-0.000268718,2.7300000000000003e-05,4.66e-05,0.000269304,-0.000151502,-0.000151502,1.0
8.79e-06,1.47e-05,4.67e-05,8.070000000000001e-05,2.95e-05,4.16e-05,3.77e-05,2.4e-05,-3.26e-05,3.26e-05,1.37e-06,6.31e-05,-2.64e-05,4.88e-06,2.93e-06,-2.48e-05,8.79e-06,4.24e-05,-8.070000000000001e-05,-4.9e-05,-4.2e-05,0.000152186,0.000152186,1.0
-0.000171722,-2.87e-05,-5.33e-05,4.71e-05,3.32e-06,-7.99e-05,-0.0001928209999999,0.000169377,5.76e-05,5.88e-05,-0.000216654,-1.15e-05,0.0002104029999999,-3.58e-05,-1.58e-05,5.67e-06,0.000144371,-0.00023619,-6.04e-05,0.000249866,0.0002365809999999,3.81e-05,3.81e-05,1.0
-1.62e-05,-2.75e-05,-6.23e-05,-6.04e-05,-2.6e-05,-7.91e-05,-1.62e-05,-6.43e-05,-5.22e-05,-5.88e-05,-4.3200000000000007e-05,-3.97e-05,1.31e-05,-4.59e-05,-2.25e-05,-2.32e-05,-3.77e-05,5.8e-05,-1.86e-05,3.34e-05,-5.76e-05,-9.71e-05,-9.71e-05,0.0
-4.36e-05,1.76e-06,-1.74e-05,2.93e-06,-2.15e-06,-1.76e-06,-9.18e-06,8.79e-06,-3.11e-05,1.15e-05,1.86e-05,4.88e-06,2.52e-05,3.32e-06,-4.55e-05,9.96e-06,-3.2200000000000003e-05,-7.23e-06,9.77e-07,-5.27e-06,7.62e-06,-2.64e-05,-2.64e-05,0.0
0.000153358,-4e-05,0.000101392,-9.08e-05,6.9e-05,-2.52e-05,0.000324884,3.69e-05,0.00014398,0.000157265,0.000212747,-9.24e-05,-8.62e-05,0.000144762,-0.000111941,0.000164689,-0.000260024,0.000157265,8.73e-05,-0.000142418,-0.000156874,6e-05,6e-05,1.0
-8.690000000000001e-05,-0.000195165,-0.000113504,-9.47e-05,5.22e-05,-3.73e-05,-0.0003776309999999,-7.68e-05,0.000201416,0.000263541,-6.35e-05,8.62e-05,0.00017094,1.47e-05,-0.00017602,-8.62e-05,0.0003643469999999,1.7e-05,0.000101783,0.000167424,-1.66e-05,6.31e-05,6.31e-05,1.0
-6.84e-06,-6.54e-05,5.2900000000000005e-05,-0.00057221,-0.0004131869999999,0.000196728,-0.000272527,0.000427253,1.82e-05,-7.6e-05,0.000218217,0.000222125,0.000419829,0.000185397,0.00021978,-0.000310818,0.000236972,0.0001979,-0.000860171,0.000205324,-0.000197509,7.6e-05,7.6e-05,1.0
-1.04e-05,5.86e-07,-2.56e-05,-3.32e-06,1.5e-05,2.17e-05,-4.49e-06,8.46e-05,9.57e-06,3.15e-05,6.7e-05,5.41e-05,0.0001045179999999,2.17e-05,3.65e-05,5.2900000000000005e-05,2.29e-05,-5.37e-05,-6.94e-05,3.32e-06,5.41e-05,1.95e-07,1.95e-07,1.0
9.12e-05,-3.32e-06,-2.95e-05,-4.49e-06,0.000106862,7.87e-05,5.84e-05,6.45e-06,3.3799999999999995e-05,0.000107253,0.000103736,-8.79e-06,-7.68e-05,7.48e-05,5.65e-05,3.65e-05,3.58e-05,-5.27e-06,8.809999999999999e-05,-4.59e-05,5.67e-06,-4.1e-06,-4.1e-06,0.0
-8.499999999999999e-05,6.659999999999999e-05,8.77e-05,0.000109597,-4.36e-05,5.1e-05,6.84e-06,-9.75e-05,-0.000251038,-0.00027956,-1.7800000000000002e-05,-0.000124835,6.06e-06,-7.170000000000001e-05,-3.32e-06,-2.79e-05,-8.73e-05,6.579999999999999e-05,1.7e-05,2.48e-05,-6.54e-05,-6.78e-05,-6.78e-05,1.0
6.04e-05,5.489999999999999e-05,3.5e-05,4.71e-05,2.21e-05,2.13e-05,-8.46e-05,7.6e-05,-6.82e-05,6.84e-06,3.929999999999999e-05,2.93e-06,6.579999999999999e-05,4.75e-05,7.25e-05,-5.920000000000001e-05,0.00016547,5.96e-05,-2.56e-05,0.000185788,-5.920000000000001e-05,-8.340000000000001e-05,-8.340000000000001e-05,0.0
-1.07e-05,8.01e-06,2.29e-05,9.77e-07,-1.82e-05,-9.18e-06,4.1200000000000005e-05,-3.32e-06,1.82e-05,-3.85e-05,3.18e-05,1.35e-05,6.08e-05,6.84e-06,5.22e-05,-5.67e-06,3.46e-05,3.32e-06,1.7e-05,-4.83e-05,-2.93e-06,-7.79e-05,-7.79e-05,0.0
0.000264322,-6.11e-05,-5.610000000000001e-05,-0.00018735,-6.54e-05,0.00010569,-0.000121319,-0.000316679,0.000196728,-6.15e-05,0.000276825,7.62e-06,-0.000228767,-4.49e-06,-8.03e-05,-2.44e-05,2.48e-05,0.000178755,1.58e-05,6.43e-05,-0.000178364,-1.31e-05,-1.31e-05,1.0
0.000174359,8.94e-05,0.000102857,-8.790000000000001e-07,9.23e-05,0.000162051,0.000241172,0.0001550179999999,0.000254066,0.000203663,0.000222418,4.13e-05,2.78e-05,8.120000000000001e-05,-7.06e-05,-5.479999999999999e-05,-6.53e-05,-1.44e-05,1.85e-05,-0.000111648,1.49e-05,1.67e-05,1.67e-05,1.0
-5.76e-05,2.01e-05,-1.37e-06,2.79e-05,4e-05,2.17e-05,0.000119756,-9.77e-07,-5.18e-05,2.68e-05,4.67e-05,-2.87e-05,6.97e-05,9.57e-06,5.68e-05,1.47e-05,-3.07e-05,-3.54e-05,4.1e-06,-5.1e-05,3.58e-05,1.23e-05,1.23e-05,1.0
1.11e-05,4.49e-06,-5.27e-06,5.86e-07,2.93e-06,-3.71e-06,5.86e-07,-1.04e-05,4.1e-06,1.39e-05,2.01e-05,-6.45e-06,4.49e-06,6.06e-06,-6.84e-06,9.77e-07,-4.49e-06,1.37e-06,7.23e-06,-2.15e-06,-9.77e-07,-1.15e-05,-1.15e-05,0.0
-2.8300000000000003e-05,-2.95e-05,8.79e-06,-3.71e-06,-1.97e-05,-4.36e-05,-1.93e-05,-1.31e-05,3.65e-05,3.77e-05,-2.17e-05,-1.37e-06,8.4e-06,-2.48e-05,-1.27e-05,-5.67e-06,4.49e-06,-1.62e-05,1.04e-05,-7.62e-06,1.66e-05,2.25e-05,2.25e-05,0.0
-0.000124835,3.929999999999999e-05,0.00061011,3.929999999999999e-05,-1.4300000000000002e-05,-0.000509695,-0.0003420759999999,-6.27e-05,-9.47e-05,0.000118193,2.4e-05,-5.720000000000001e-05,0.000106081,2.4e-05,0.0002104029999999,-0.000106862,0.000358486,-0.000249084,0.000103346,0.000284249,0.000249475,4.55e-05,4.55e-05,1.0
5.88e-05,1.86e-05,-5.02e-05,-2.56e-05,6.39e-05,-7.170000000000001e-05,0.00021978,5.27e-06,-8.79e-06,0.000100611,3.15e-05,8.79e-06,-0.000205324,-2.21e-05,-7.79e-05,2.79e-05,-0.000168596,0.000114286,-3.81e-05,-0.000126789,-0.000113895,6.84e-06,6.84e-06,0.0
3.89e-05,-4.9e-05,2.13e-05,-1.82e-05,-0.000199072,1.04e-05,-0.000207668,6.35e-05,-2.29e-05,3.18e-05,-4.94e-05,2.09e-05,-0.000180708,3.61e-05,8.46e-05,8.01e-06,4.9e-05,6.82e-05,3.81e-05,0.000164689,-6.78e-05,1.93e-05,1.93e-05,1.0
1.23e-05,6.84e-06,5.67e-06,3.61e-05,-6.45e-06,-9.18e-06,3.32e-06,3.15e-05,-1.23e-05,-1.74e-05,-1.4300000000000002e-05,2.44e-05,-1.89e-05,-3.34e-05,6.06e-06,1.27e-05,-9.77e-07,2.05e-05,-2.54e-06,-1.23e-05,-2.01e-05,-2.05e-05,-2.05e-05,0.0
-0.00021978,0.000291282,-0.000113504,2.05e-05,-7.99e-05,-2.09e-05,-3.34e-05,-5.1e-05,-0.000177192,-0.000140073,-0.000177582,3.85e-05,6.620000000000001e-05,-3.54e-05,-0.000306129,5.720000000000001e-05,-1.31e-05,5.27e-06,-3.81e-05,-8.149999999999999e-05,-4.88e-06,4.86e-05,4.86e-05,0.0
